age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
24,F,427,En Couple,1,false,1674 SA 38
73,M,1181,Marié(e),3,true,3188 JC 82
52,F,542,En Couple,2,false,2003 VX 12
59,M,454,En Couple,4,false,5738 NG 25
63,M,440,En Couple,1,false,4343 RQ 30
79,F,238,En Couple,3,false,2540 IQ 68
44,F,162,En Couple,0,true,9353 ZH 49
81,M,883,En Couple,3,false,2179 XT 94
73,M,593,Célibataire,0,false,8579 ZW 93
64,F,546,En Couple,1,false,1437 AT 14
58,M,519,Célibataire,0,false,6347 SJ 79
22,M,598,Célibataire,0,false,8950 YE 98
33,M,1039,En Couple,2,false,5665 QF 27
36,M,711,Célibataire,0,false,1090 XZ 69
40,F,229,En Couple,1,true,4989 TX 56
77, ,450,En Couple,0,false,4814 QZ 59
62,Masculin,542,En Couple,4,true,2371 BI 55
67,M,511,Seule,1,false,8308 PH 27
74,M,168,Célibataire,0,false,5712 OD 15
40,M,207,Célibataire,0,false,9493 NM 45
58,M,207,En Couple,2,false,9131 GN 26
37,M,471,Célibataire,0,false,1022 JW 60
59,M,542,Célibataire,0,false,1847 RT 85
41,M,503,En Couple,3,false,6486 ZA 15
31,M,1246,En Couple,2,true,4669 YX 91
23,M,415,Célibataire,0,false,9740 IL 73
48,M,430,En Couple,2,false,1812 YN 26
55,F,1188,En Couple,3,false,5530 JS 73
37,M,555,En Couple,3,true,1979 WI 62
67,M,430,En Couple,4,false,8614 XD 47
74,M,493,En Couple,2,false,4875 SD 40
53,M,223,En Couple,0,false,8510 OI 86
77,M,486,En Couple,2,false,551 JZ 72
54,M,594,En Couple,3,false,8585 PY 65
18,M,499,En Couple,3,false,748 ED 94
63,F,452,En Couple,1,false,3930 ZR 92
58,M,1072,Célibataire,0,false,8611 QB 42
66,M,241,Célibataire,0,false,8894 JY 48
80,M,536,En Couple,3,false,4220 CB 14
23,M,405,Célibataire,0,false,6282 GB 88
58,M,1038,Seule,2,false,4099 VJ 26
19,M,1110,En Couple,1,false,1263 TT 74
56,M,592,Célibataire,0,false,2429 QT 87
43,F,445,En Couple,2,false,5608 WH 72
50,M,454,En Couple,0,false,9977 MS 22
54,M,1033,En Couple,2,true,5000 UU 68
27,M,968,Célibataire,0,false,7936 XF 69
 ,F,1317,En Couple,1,false,6095 FM 56
70,F,477,En Couple,3,false,1590 SI 48
22,M,473,En Couple,1,false,1699 GW 81
25,M,200,En Couple,1,false,8553 JR 48
48,M,246,En Couple,1,false,6505 MN 26
51,M,870,Célibataire,0,false,3503 NV 20
67,M,172,En Couple,0,false,4107 VD 28
26,M,510,Célibataire,0,false,3594 AD 97
30,M,445,Célibataire,0,false,9312 JQ 81
37,M,493,En Couple,1,false,9924 QO 10
19,M,1057,Célibataire,0,false,5433 KR 57
68,M,1292,Célibataire,0,false,8533 HP 98
44,M,476,En Couple,3,false,9536 AW 75
24,F,596,En Couple,2,true,8938 RO 39
52,M,1326,Célibataire,0,false,7816 EW 76
45,M,214,En Couple,0,false,6605 RT 65
69,M,205,En Couple,2,false,2082 XQ 12
55,F,1367,En Couple,0,false,6338 PH 87
48,M,490,?,0,false,4660 RX 60
26,F,497,En Couple,2,false,9509 EV 40
83,F,1050,Célibataire,0,false,4753 OW 77
59,M,526,Célibataire,0,false,2990 RV 11
67,M,761,Célibataire,0,false,2773 AB 97
37,F,1124,En Couple,3,true,158 IX 55
23,M,464,En Couple,0,false,4168 WR 23
59,M,430,Célibataire,0,false,3362 VB 18
29,M,247,En Couple,3,false,9800 XH 41
22,F,1264,Célibataire,0,false,9709 IN 54
38,M,1135,En Couple,1,false,6017 RI 75
19,M,443,En Couple,4,true,2703 XS 52
25,M,229,En Couple,0,false,4934 QR 29
30,M,589,En Couple,2,true,3746 PM 89
27,M,508,Célibataire,0,false,3446 YM 87
36,M,506,En Couple,2,false,6952 PQ 96
28,M,1296,En Couple,3,false,6458 MF 21
72,M,187,En Couple,2,false,5904 PU 47
62,M,561,Célibataire,0,false,3171 EK 98
37,M,553,Célibataire,0,false,1969 LD 34
45,F,420,Célibataire,0,false,4862 UU 16
